Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:",Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Rewrite introductory material to be more generic (less focused on NetCDF and geoscience applications)],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [A more modern web design],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of domain-specific interactive tutorials],Xarray's documentation is due for a makeover. Rank the following set of possible changes based on your personal preferences: [Expanded set of generic examples for common workflow patterns],,
1/6/2021 8:02:26,"Domain scientist / researcher, Data scientist, Software engineer / developer",Geosciences,Friend,Most days,7,4,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",1 (least),2,3,5 (most),4,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Most days,Most days,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Most days,Never,Most days,Never,Never,Never,Never,Never,Never,,,3,"intake, fsspec, dask, pandas, zarr, scikit-learn, tensorflow, rechunker, xesmf, xpublish",Better regridding packages (xesmf is nice but lacks some important features),Very useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Critical,Very interested,Somewhat interested,Very interested,Somewhat interested,,,2,1 (highest priority),4 (lowest priority),3,,
1/6/2021 8:19:36,Student,Geosciences,Twitter,Most days,2,2,2,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag",5 (most),4,2,3,1 (least),Occasionally (~monthly),Most days,Most days,Never,Most days,Most days,Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,Never,Never,,3,,,Critical,Very useful,Very useful,Very useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Critical,Somewhat useful,Somewhat interested,Not interested,Very interested,Not interested,,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 8:21:42,Domain scientist / researcher,Geosciences,Twitter,Occasionally (~monthly),2,1,0,No,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), Stack Overflow #python-xarray tag, Github Discussions",4,5 (most),1 (least),2,3,Occasionally (~monthly),Occasionally (~monthly),,,Never,Never,Occasionally (~monthly),Most days,Never,Regularly (~weekly),Never,Never,Occasionally (~monthly),Most days,Most days,Never,Most days,Never,,1,"TensorFlow, Keras, NumPy",,Somewhat useful,Critical,Critical,Very useful,Somewhat useful,Somewhat useful,Not relevant,Critical,Not relevant,Critical,Critical,Somewhat interested,Not interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),2,3,1 (highest priority),,
1/6/2021 8:22:18,"Student, Data scientist",Geosciences,Twitter,Most days,1,3,4,No,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",,,5 (most),,,Regularly (~weekly),,Most days,,Most days,,,Most days,Occasionally (~monthly),Regularly (~weekly),,,,,,,,,,4,"Cdo, dask",I do use cdo-python to regrid my datasets but I always have to save the data as nc file using to_nether then proceed to open the nc with Netcdf4. So can you make xarray-cdo to increase the usability of xarray ,,,Critical,Critical,,,,Critical,,Critical,,Very interested,,Very interested,,,,,1 (highest priority),,,,
1/6/2021 8:23:57,"Domain scientist / researcher, Software engineer / developer, Manager",Geosciences,Twitter,Most days,4,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),4,2,3,1 (least),Most days,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Regularly (~weekly),Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),Never,Never,Never,Never,,4,"dask, pandas, metpy, act, pyart, matplotlib ","More libraries that take X-Array as a dependancy... I saw you mention video as in input, I did not even know that is a thing, mpeg to xarray would (or perhaps is) super useful. What would also be useful are more rolling averages, convolutions etc.. BUT these may be more appropriate in another package.. ",Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat interested,Very interested,Very interested,Very interested,Somewhat interested,Video frames,4 (lowest priority),3,2,1 (highest priority),,
1/6/2021 8:24:03,"Domain scientist / researcher, Data scientist",Biosciences,Twitter,Regularly (~weekly),4,3,4,Yes,"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag",4,3,5 (most),2,1 (least),Regularly (~weekly),Never,Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Never,Never,Never,Never,Never,Never,Never,,,3,,,Not relevant,Very useful,Critical,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Critical,Not relevant,Somewhat interested,Somewhat interested,Very interested,Not interested,,,2,1 (highest priority),4 (lowest priority),3,,
1/6/2021 8:24:34,Domain scientist / researcher,"Geosciences, Statistics & Machine Learning",Twitter,Regularly (~weekly),2,2,2,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",3,5 (most),4,1 (least),2,Regularly (~weekly),Regularly (~weekly),Never,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),,Regularly (~weekly),,,,,,,4,"dask, pandas, geopandas, matplotlib, rasterio, folium, sklearn",,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Not relevant,Very useful,Somewhat useful,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 8:26:40,"Student, Data scientist","Geosciences, Climate Science and Meteorology",Twitter,Most days,3,3,4,Yes,"Documentation (http://xarray.pydata.org/), Tutorials (https://xarray-contrib.github.io/xarray-tutorial/), GitHub issue trackers (reading past issues), Github Discussions",5 (most),4,1 (least),3,2,Most days,Never,Never,Never,Regularly (~weekly),Most days,Occasionally (~monthly),Most days,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Never,,4,"Proplot, ESMtools and XClim","I don't know, perhaps the devs could surprise me :-)",Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,"Not relevant, Somewhat useful",Somewhat useful,Not relevant,Critical,Critical,Not interested,Somewhat interested,Somewhat interested,Not interested,Not interested,,4 (lowest priority),3,1 (highest priority),2,,
1/6/2021 8:27:03,postdoc,Biosciences,Joe Hamman,Occasionally (~monthly),4,1,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),Stack Overflow #python-xarray tag,5 (most),3,1 (least),2,4,Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Never,Occasionally (~monthly),Never,Occasionally (~monthly),Never,Never,Never,Never,Never,"I didn't answer ""other"" but please don't build mongoldb support. thanks.",4,"dask, pandas, scikit-learn",could we change the name back to `xray`? ,Not relevant,Critical,Very useful,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Not relevant,Critical,Not relevant,Not interested,Not interested,Somewhat interested,Very interested,Not interested,,3,4 (lowest priority),2,1 (highest priority),,
1/6/2021 8:27:07,Domain scientist / researcher,"Geosciences, Statistics & Machine Learning",Mailing list,Regularly (~weekly),2,3,3,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (http://xarray.pydata.org/), GitHub issue trackers (reading past issues)",5 (most),3,4,2,1 (least),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Occasionally (~monthly),Occasionally (~monthly),Never,Never,Occasionally (~monthly),,,3,"dask, iris, tensorflow, pandas",Better support for interpolation and gridding of unstructured data (e.g. KD-trees),Very useful,Somewhat useful,Not relevant,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant,Very useful,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,,,4 (lowest priority),3,2,1 (highest priority),,
