Timestamp,What is the job title that best describes your role when using Xarray?,What field do you work in?,How did you hear about this survey?,How often do you use Xarray?,How many years have you been using Xarray?,How do you rate your level of Xarray proficiency?,"For your applications that use Xarray, how critical is Xarray?",Is Xarray stable enough for you?,What Xarray resources have you used for support in the last six months?,"Which of Xarray's core features are most important to you? [Label-based indexing, interpolation, groupby, reindexing, and computation]",Which of Xarray's core features are most important to you? [Reading and writing files],Which of Xarray's core features are most important to you? [Parallel computation with Dask],Which of Xarray's core features are most important to you? [Interoperability with Pandas],Which of Xarray's core features are most important to you? [Plotting],Where do you use Xarray? [Personal laptop],Where do you use Xarray? [Large workstation],Where do you use Xarray? [HPC cluster],Where do you use Xarray? [Cloud cluster],Interactive or batch? [Interactive:  I use Xarray with Jupyter or IPython when playing with data],Interactive or batch? [Batch: I use Xarray in scripts that run in the future],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 3*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [NetCDF 4*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Zarr*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GRIB*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [GeoTIFF*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Python Pickle*],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [HDF 4/5],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other Image format (PNG, JPG, TIFF, etc.)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Video (e.g. MP4)],Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Database (e.g. MongoDB)],"Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Tensors (e.g. PyTorch, Tensorflow, NumPy)]",Xarray includes support for reading and writing a number of multi-dimensional data storage formats. Which do you use? [Other],"If you answered ""Other"" above, please list any additional formats:",How easy is it for you to upgrade to newer versions of Python libraries?,"What are some other libraries that you often use with Xarray? (e.g. ""dask, pandas, scikit-learn"") ",What would make Xarray even more useful for your work?,What development activities would help you most right now? [Bug fixes],What development activities would help you most right now? [More documentation],What development activities would help you most right now? [More examples in my domain],What development activities would help you most right now? [New features],What development activities would help you most right now? [Performance improvements],"What common feature requests do you care about most? [More flexible indexing (i.e. selection, alignment)]","What common feature requests do you care about most? [More flexible backend arrays (e.g. Dask, CuPy, Pint, Sparse)]","What common feature requests do you care about most? [More flexible file IO (e.g. netCDF, Zarr, DB)]",What common feature requests do you care about most? [Better physical unit support],What common feature requests do you care about most? [Better documentation / more examples from my field],"What common feature requests do you care about most? [Better interoperability with Machine Learning libraries (e.g. Scikit-learn, Tensorflow)]","What common feature requests do you care about most? [New data structures (e.g. lightweight labeled array, tree-like dataset)]",Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [CuPy (GPU) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Sparse arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Dask arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Pint (unit-aware) arrays],Xarray supports multiple backend array types (e.g. NumPy and Dask). Rank your interest non-NumPy backend array support: [Other],"If you answered ""Other"" above, list any additional array types:"
6/1/2022 8:05:01,"Domain scientist / researcher, Data scientist","Geosciences, Statistics & Machine Learning",Twitter,Regularly (~weekly),4,4,4,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",4,5 (most),2,1 (least),3,Occasionally (~monthly),Never,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Never,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Never,Never,Never,Never,Never,Occasionally (~monthly),Never,,3,"dask, xesmf, intake, matplotlib, seaborn",,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Somewhat interested,Not interested,Very interested,Somewhat interested,Not interested,
6/1/2022 8:06:36,"Student, Educator, Domain scientist / researcher",Geosciences,Twitter,Regularly (~weekly),3,1,3,Yes,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Never,Regularly (~weekly),Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Never,Never,Regularly (~weekly),Never,Never,Never,Never,,,4,,,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Critical,Somewhat useful,Very useful,Very useful,Very useful,,,Very interested,,,
6/1/2022 8:10:15,"Domain scientist / researcher, Software engineer / developer",Geosciences,Twitter,Most days,7,4,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",4,5 (most),3,1 (least),2,Regularly (~weekly),Never,Occasionally (~monthly),Most days,Most days,Regularly (~weekly),Occasionally (~monthly),Regularly (~weekly),Most days,Never,Regularly (~weekly),Never,Occasionally (~monthly),Never,Never,Occasionally (~monthly),Occasionally (~monthly),,,3,"dask, scikit-learn, pandas, jupyter, zarr, fsspec",,Very useful,Somewhat useful,Somewhat useful,Very useful,Critical,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Very useful,Critical,Somewhat interested,Somewhat interested,Very interested,Somewhat interested,,
6/1/2022 8:18:49,Software engineer / developer,"Biosciences, Geosciences, Statistics & Machine Learning, Finance, consulting",gitter,Regularly (~weekly),6,2,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),4,3,1 (least),2,Regularly (~weekly),Occasionally (~monthly),,Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),,,Occasionally (~monthly),,Occasionally (~monthly),,Occasionally (~monthly),Occasionally (~monthly),,,,,,4,"dask, hvplot",Incorporate features from https://github.com/scipp/scipp to fold that community back into xarray.,Very useful,Very useful,Not relevant,Somewhat useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Not relevant,Not relevant,Very useful,Very interested,Very interested,Very interested,Very interested,,
6/1/2022 8:37:41,Software engineer / developer,Geosciences,Twitter,Most days,1,3,1,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag",3,5 (most),2,4,1 (least),Never,Regularly (~weekly),Never,Occasionally (~monthly),Most days,Regularly (~weekly),Never,Occasionally (~monthly),Regularly (~weekly),Never,Most days,Never,Occasionally (~monthly),Never,Never,Never,Regularly (~weekly),Never,,3,"Pandas, rioxarray",,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Not relevant,Somewhat interested,Somewhat interested,Very interested,Not interested,Not interested,
6/1/2022 8:38:38,"Domain scientist / researcher, Data scientist, Software engineer / developer","Geosciences, Statistics & Machine Learning",Gitter,Most days,4,2,4,,"Documentation (https://docs.xarray.dev/), Tutorials (https://tutorial.xarray.dev), Stack Overflow #python-xarray tag, GitHub issue trackers (reading past issues)",5 (most),3,4,1 (least),2,Most days,Never,Regularly (~weekly),Occasionally (~monthly),Most days,Occasionally (~monthly),Most days,Most days,Regularly (~weekly),,,,Most days,,,,,Regularly (~weekly),Kerchunk no,4,Dask,More Tutorials,Very useful,Very useful,Very useful,Somewhat useful,Critical,Critical,Very useful,Critical,Somewhat useful,Critical,Critical,Very useful,Somewhat interested,Somewhat interested,Very interested,Not interested,,
6/1/2022 8:47:43,"Student, Domain scientist / researcher",Geosciences,Twitter,Regularly (~weekly),3,3,3,Yes,Documentation (https://docs.xarray.dev/),5 (most),4,1 (least),3,2,Occasionally (~monthly),Never,Most days,Never,Most days,Regularly (~weekly),,Regularly (~weekly),,,,,,Regularly (~weekly),,,,,,2,"pandas, numpy, scipy, matplotlib","More support for vectorized built-in operations, e.g., da.corr()",Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,,,,,Very useful,,,Not interested,Not interested,Somewhat interested,Not interested,Not interested,
6/1/2022 9:00:18,Domain scientist / researcher,"Geosciences, Statistics & Machine Learning",Twitter,Most days,6,3,3,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (reading past issues)",5 (most),4,3,1 (least),2,Occasionally (~monthly),Regularly (~weekly),Most days,Occasionally (~monthly),Most days,Most days,Regularly (~weekly),Most days,Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Occasionally (~monthly),Regularly (~weekly),Occasionally (~monthly),Occasionally (~monthly),Most days,Most days,Parflow binary files,4,"Dask, pandas, cartopy, holoviews, numba, pytorch, Jax (hopefully soon)","Clearer performance profiling, particularly with openfdataset and large parallel computations where workers get imbalanced and spill to disk",Somewhat useful,Very useful,Somewhat useful,Very useful,Very useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,"Very useful, Critical",Very interested,Somewhat interested,,Somewhat interested,,torch tensors and jax device arrays 
6/1/2022 9:09:39,"Domain scientist / researcher, Software engineer / developer",Oceanography,Twitter,Most days,5,2,4,Yes (and I wouldn't mind a little less stability if it meant the project developed faster),"Documentation (https://docs.xarray.dev/), GitHub issue trackers (reading past issues)",4,5 (most),2,1 (least),3,Most days,Never,Never,Never,Regularly (~weekly),Regularly (~weekly),Regularly (~weekly),Most days,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,4,"numpy, gsw",The ability to use non dimensional coordinates as indexes,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,Critical,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,,Somewhat useful,Not interested,Somewhat interested,Somewhat interested,Somewhat interested,Not interested,
6/1/2022 9:21:34,"Student, Domain scientist / researcher",Geosciences,GitHub,Most days,5,3,3,Yes,"Documentation (https://docs.xarray.dev/), GitHub issue trackers (raising a new issue), GitHub issue trackers (reading past issues)",4,5 (most),2,1 (least),3,Most days,,Most days,,Most days,Occasionally (~monthly),Never,Most days,Regularly (~weekly),Never,Never,Never,Most days,Never,Never,Never,Never,,,3,"dask, matplotlib, metpy, kerchunk",,Somewhat useful,Very useful,Very useful,Very useful,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,Not relevant,Not relevant,Not interested,Somewhat interested,Very interested,Very interested,,
